name,price
Shinon 15.6 Inch Intel Celeron N4000,2950000
Lenovo 100e Chromebook,725000
Lenovo G480 Celeron B820,899000
Lenovo Core i3/i5/i7,1149000
Amoli 14 Inch Intel N4000,2950000
Laptop 14.1 Inch RAM Besar,3190000
Lenovo Core i5 Used,1450000
Dell Latitude 5480 Core i7 Gen 6,2850000
Amoli 2-in-1 Intel N4020 Touchscreen,2950000
Lenovo ThinkPad X240,1790000
Dell Latitude 5280 Core i5 Gen 7,2500000
ASUS X455L Core i3 14 Inch,2249000
HP EliteBook 845 G8 Ryzen 5 Pro 5650U,3900000
Lenovo ThinkPad T450 Core i7 Gen 5,2250000
Asus X441NA Celeron N3350,1650000
HP EliteBook 840 G8 Core i5 Gen 11,3500000
Lenovo ThinkPad T14 Gen 1 Core i7 Touchscreen,3850000
ASUS X441 Core i3 14 Inch,2600000
Lenovo 100e Chromebook,790000
Lenovo ThinkPad Yoga 11e Touchscreen,2440000
Acer Aspire E5-411,1399000
Lenovo ThinkPad Yoga 11e Core i5 Gen 8,1600000
Lenovo ThinkPad T490s Core i7 Gen 8 Touchscreen,2000000
Asus X540Y AMD E1-7010,1300000
Lenovo ThinkPad T470s Core i5 Gen 6,2700000
Lenovo IdeaPad 120S Celeron N3350,1200000
Dell Latitude 3310 Core i3 Gen 8,2200000
Panasonic Toughbook CF-31 Core i5 Gen 5 Touchscreen,3490000
Dell Latitude 7480 Core i5 Gen 7,2900000
Lenovo ThinkPad T460 Core i5-6300U Full HD,2550000
Amoli Intel N4000 14/15.6 Inch 8GB 256GB,3090000
Amoli Intel N4000 15.6 Inch Fingerprint,3291000
Lenovo 10 Core i3 i5 i7 128,1149000
Advan 2 in 1 360 Go Touchscreen 14 Inch IPS FHD,4999000
Asus X450C Intel Celeron 1007U,1200000
Dell Latitude 5250 Core i5 Gen 5,1800000
Dell Latitude 5490 Core i7 Gen 8,2900000
Lenovo ThinkPad X390 Core i7 Touchscreen,2690000
ASUS X441 14 Inch,1400000
Lenovo ThinkPad Yoga X380 Core i7 Touchscreen,3390000
Acer Aspire V5-471 Core i3-3217U Touchscreen,1300000
Lenovo G405 AMD E1-2100,1199000
Advan Soulmate X AMD 3020E 14 Inch FHD,3399000
ASUS X441 14 Inch,1475000
Laptop Intel N95 15.6 Inch DDR4,4819000
Asus X43U,699000
Asus VivoBook X510U Core i5-7200U Dual VGA,2550000
Dell Latitude 7280 Core i7 Gen 6 NVMe,2600000
Shinon Amoli Intel J4105 15.6 Inch,3590000
Lenovo ThinkPad Yoga X380 Core i5 Gen 8 Touchscreen,2850000
Dell Latitude 7420 Core i7 Gen 11,3850000
Shinon Amoli Intel J4125 15.6 Inch Fingerprint,3480000
Asus Intel Core i3,1850000
Asus A470M Intel Celeron N4000,1799000
Lenovo ThinkPad T410 T412 L512,1350000
HP Stream 14-ax0XX,1299000
Lenovo IdeaPad 300 Celeron N3150,999000
Lenovo ThinkPad X250 X240 Core i5,1690000
HP EliteBook 820 G3 Core i5-6300U Touchscreen,2699000
Lenovo ThinkPad X390 Core i7 Gen 8 Touchscreen,3300000
Advan Workplus Heritage Ryzen 5 7535HS 14 Inch IPS,7699000
Lenovo G400 Intel Celeron 1005M,975000
Dell Latitude 7300 Core i7 Gen 8 SSD,2600000
Lenovo ThinkPad X280 Core i5 NVMe Touchscreen,2490000
HP EliteBook 830 G7 Core i7 Gen 10,3500000
Lenovo ThinkPad X230i,1390000
Lenovo Yoga Touchscreen,2000000
Lenovo Ideapad 130 AMD A4-9125 Radeon R3,1350000
Acer Aspire Core i3 14 Inch,3050000
Asus X451C,899000
Lenovo G40-45 AMD E1-6010 Radeon R2,1299000
Dell Latitude 7480 Core i7 Gen 7 Full HD,2450000
Lenovo ThinkPad T470s Slim,2150000
Lenovo ThinkPad T480s Core i7 Gen 8 Touchscreen,3000000
TECNO Megabook K15S Ryzen 5 7430U,6599000
HP 14-BS0XX Celeron N3060,1200000
Lenovo B490 Core i3-3110M,1399000
Asus X452C Core i3-3217U 14 Inch,1400000
Asus Intel Celeron atau AMD,1325000
ASUS 14 Inch Celeron atau AMD 256GB,1380000
Acer Aspire Lite AL14 Series,5899000
Acer Aspire One D270,400000
Lenovo ThinkPad E431 Core i5 Touchscreen,1590000
Acer Core i3 Windows 10,2650000
Tablet Fujitsu Arrows V727,1295000
Sony SVP112A1CL Core i5-4200U Touchscreen,999000
HP EliteBook 6930p,1190000
HP EliteBook x360 1040 G7 Core i7 Gen 10,4500000
Advan Gaming Pixwar Ryzen 7 6800H Touchscreen,9199000
HP 240 / 14S Core i5 Gen 6,1527500
Dell Latitude 7490 Core i7 Gen 8 Touchscreen,2550000
Asus X451MA Celeron N2840,1200000
Toshiba Satellite L740 Core i3 M380,1199000
Lenovo ThinkPad Yoga 11e Core i5 Gen 7,1850000
Lenovo ThinkPad Yoga L13 Gen 1 Core i5 Gen 10,3850000
HP EliteBook 840 G2 Core i7-5600U,1600000
Lenovo ThinkPad T14s Gen 2 Ryzen 7 Pro 5850U,4950000
HP EliteBook 830 G8 Core i5 Gen 11,4500000
Lenovo ThinkPad T470 Core i5 Gen 7,2524500
Laptop 14 Inch RAM 16GB Windows 11,4550000
Dell Series 14 Inch,1225000
Dell Latitude E Series Core i5,1350000
Asus X441M Celeron N4000,1449000
Lenovo ThinkPad T480s Core i5 Gen 8 Touchscreen,3450000
Sony SVE14AA11W Core i5-2450M,999000
Dell Latitude D630 Core 2 Duo,1350000
Lenovo V130 Core i3 Touchscreen,1500000
Dell Latitude 5320 2-in-1 Core i7 Gen 11,4350000
Acer Aspire V5-431 Core i3-3227U,1500000
Lenovo ThinkPad X260 Core i5,2750000
HP 14s-dq4016TU,8799000
HP ProBook 440 G7 Core i5 Gen 10 Touchscreen,4140000
Acer Aspire 14 Celeron N3060,1900000
Lenovo ThinkPad E595 Ryzen 7 3700U,3762000
Fujitsu Lifebook T902 Core i5-3320M Touchscreen,1400000
Lenovo ThinkPad X201 Tablet,1690000
Lenovo ThinkPad L13 Core i5 Gen 10,2050000
Dell Latitude E7440 Touchscreen,2590000
HP Laptop Slim Sekolah,888000
Toshiba Laptop Umum,1099000
Lenovo ThinkPad T460s Core i7 Gen 6,1930500
Lenovo ThinkPad X260 Core i5 Gen 6,1800000
Lenovo 100e Chromebook,825000
NEC VKA10H M3-8100Y,1425000
HP TPN-113 AMD A4-1200,599000
Lenovo Ideapad 320/330 AMD A9,2275000
Dell Latitude E Series Core i5,1190000
Advan Workmate Ryzen 5 3500U / i3-1215U,6199000
Lenovo V14 G5 Core i3-1315U,8369000
Asus E402Y 14 Inch,1500000
HP EliteBook 820 Core i5 Gen 5,1890000
Dell Latitude 7480 Core i7 Gen 7,2050000
HP 520,989000
Lenovo ThinkPad X220 Core i5,1540000
Advan Workmate Ryzen 5 3500U / i3-1215U,4910000
Axioo MyBook Hype 10 Celeron N4020,4579000
Advan Workmate Ryzen 5 3500U,6199000
Lenovo ThinkPad X240,1690000
Asus X441N Celeron N3350,1100000
Asus A42J Core i5 NVIDIA GeForce,1499000
Dell Latitude 3190 2-in-1 Pentium N5000 Touchscreen,1900000
Toshiba Satellite C40A Core i3-3110M,1350000
HP Core i3 14 Inch,2550000
Lenovo ThinkPad X260 Core i7,2090000
Advan Workmate Ultra Intel Ultra 5,8199000
Lenovo ThinkPad L380 Celeron 3965U,1600000
Lenovo Ideapad 110 Celeron N3060,1299000
Dell Latitude 7280 Core i5 Gen 6,2650000
Lenovo ThinkPad T490/T490s Core i5 Gen 8,3100000
Lenovo ThinkPad T470 Core i7 Gen 7,2390000
Dell Latitude E7450 Core i7,1990000
Dell Latitude 5300/3390 2-in-1 Core i5 Gen 8 Touchscreen,3090000
Lenovo ThinkPad Yoga 370 Touchscreen,3350000
Lenovo ThinkPad T460s Core i7 Gen 6 Touchscreen,2450000
Lenovo ThinkPad X1 Core i5 Gen 2,1490000
Asus X441S Celeron N3060,1299000
Laptop Core i5 Slim Series,1399000
Advan Soulmate Celeron N4020 14 Inch,2200000
HP Compaq 6910p Series,950000
Lenovo ThinkPad T495 Ryzen 7 3700U Touchscreen,3350000
Acer Aspire V5 Celeron 1019Y,1050000
Asus E203NAH Celeron N3350,1249000
Lenovo ThinkPad L480 Core i5 Gen 8,2600000
Lenovo IdeaPad Flex 10,699000
Advan Soulmate Laptop + Charger,2249000
HP Chromebook X360 G1 Celeron Touchscreen,1000000
Dell Latitude 3190 Pentium,1499000
Advan Evo-X Core i3 Gen 12 16 Inch Touchscreen,7999000
Dell Latitude E6420 Core i5,1750000
Acer Aspire E1-410 Celeron N2820,1300000
Asus X402C Celeron 1007U,1400000
Asus X453S Celeron N2840,1250000
Asus X441S Celeron N3060,1399000
Dell Inspiron 1440 Dual Core,1399000
Acer Aspire 4736 Core 2 Duo,999000
Lenovo ThinkPad T470s Core i5 Touchscreen,2550000
Lenovo ThinkPad T460 Core i7 Touchscreen,2590000
Lenovo ThinkPad T14 Gen 2 Core i7 Gen 11,6039632
Compaq Presario CQ45 NVIDIA,999000
Asus X45U AMD E2-1800,1149000
Acer Aspire 14 Celeron N3060,1750000
Lenovo ThinkPad Edge E40,1490000
Dell Latitude 7290/7280/7270/7250/7390 Core i5/i7,1950000
HP X360 11 EE Touchscreen,1990000
Laptop Core i5 Gaming,2300000
Dell Latitude E7440 Core i5,1790000
HP EliteBook 8440p / ProBook 6450b / 6440b Core i5,1350000
Lenovo G40-30 Celeron N2840,1199000
Acer Aspire ES1-420 AMD E1-2500,1449000
Toshiba Satellite L840 Core i5-3210M,1699000
Dell Latitude E7440 Core i5 Gen 4,1800000
Samsung 300E Celeron 847,1100000
Lenovo G470 Core i5 Radeon,1850000
Lenovo ThinkPad X280 / T480 Core i5,2600000
Dell Latitude E7450 Touchscreen,2890000
Dell Latitude E6220,1690000
